customer_id,first_name,last_name,email,age,gender,county,state,signup_date
M-1874,Monica,Duran,monica.duran.84@example.com,54,Female,Adams County,Colorado,2022-01-27
K-8887,James,Rodriguez,james.rdz202@example-mail.org,32,Male,Orange County,California,2024-11-19
O-5013,Jemma,Davies,jemma.davies91@mail-example.net,42,Female,Miami-Dade County,Florida,2023-05-19
N-6421,Youngil,Kim,ykim.Youngil77@temp-mail.io,34,Male,Clark County,Nevada,2023-08-09
Z-3452,Seungmin,Noh,seungmin.noh3@example.com,36,Male,Mesa County,Colorado,2024-01-22
G-8712,Thomas,Ellis,t.ellis592@mail-example.net,52,Male,Orange County,Texas,2023-02-19
P-5424,Robin,Wright,rwright.2025@example-mail.org,32,Male,Philadelphia County,Pennsylvania,2024-10-24
P-9536,Louis,Carter,louis.carter88@temp-mail.io,34,Male,Berks County,Pennsylvania,2023-12-17
F-9812,Kathy,Garrett,kathy.garrett41@example.com,59,Female,San Bernardino County,California,2023-04-27
R-4203,Kathryn,Calderon,k.calderon09@mail-example.net,19,Female,Riverside County,California,2022-01-19
F-9917,David,Powell,dpowell.761@example-mail.org,44,Male,Los Angeles County,California,2023-05-13
N-7339,Ethan,West,ethan.west24@temp-mail.io,54,Male,Riverside County,California,2024-01-05
M-0029,Patricia,Cooper,p.cooper583@example.com,31,Female,Bucks County,Pennsylvania,2024-03-12
R-0849,Michael,Maxwell,mmaxwell.92@mail-example.net,42,Male,Los Angeles County,California,2023-12-24
T-5719,Lee,Allen,lee.allen305@example-mail.org,50,Male,Stanislaus County,California,2024-12-24
A-7623,Nicole,Clark,nicole.clark76@temp-mail.io,20,Female,Maricopa County,Arizona,2023-05-02
D-6091,Jennifer,Adkins,j.adkins419@example.com,46,Female,Mohave County,Arizona,2022-02-23
K-8848,Tiffany,Leon,tiffany.leon58@mail-example.net,46,Female,San Diego County,California,2024-09-23
R-1451,Laura,Smith,laura.smith821@example-mail.org,45,Female,Kings County,California,2024-10-06
K-1778,Gerald,Dorsey,gdorsey.33@temp-mail.io,43,Male,Pinellas County,Florida,2024-08-05
T-9399,Kristen,Wilson,kristen.wilson47@example.com,43,Female,Harris County,Texas,2023-03-04
J-4672,Katherine,Hernandez,k.hernandez904@mail-example.net,34,Female,San Joaquin County,California,2024-09-21
G-9898,Seungmin,Kim,seungmin.k202@example-mail.org,32,Male,Los Angeles County,California,2023-09-16
M-2361,Tsubasa,Yamazaki,tsubasa.yama12@temp-mail.io,21,Male,Manatee County,Florida,2024-02-24
Y-1058,Miyoung,Park,miyoung.park9@example.com,29,Female,Palm Beach County,Florida,2024-05-07
A-8412,Aaron,Davies,aaron.davies67@mail-example.net,32,Male,Los Angeles County,California,2023-04-08
Q-9981,Mandy,Webb,mandy.webb305@example-mail.org,46,Female,Seminole County,Florida,2022-03-19
